56 x,56 y,86 x,86 y,138 x,138 y
7.886435331230E0,-8.644727667360E1,2.113564668770E1,-8.469275235812E1,5.804416644460E1,-8.644727700825E1
2.334384858044E1,-7.381470160217E1,4.794952681388E1,-8.258732317955E1,1.170347027222E2,-5.416402960348E1
3.375394321767E1,-5.942760221526E1,6.845425867508E1,-7.135836756050E1,1.596214535108E2,-3.696969131180E1
5.899053627760E1,-4.363688337597E1,8.107255520505E1,-5.977850707835E1,1.835962169178E2,-2.258259192489E1
7.381703470032E1,-2.644254508429E1,1.034700315457E2,-4.679502714382E1,1.946372263815E2,-1.345906548441E1
7.917981072555E1,-7.493682477144E0,1.116719242902E2,-3.661878611406E1,2.018927468862E2,-1.246806867905E-1
7.760252365931E1,3.384368278812E0,1.154574132492E2,-2.538983049501E1,2.012618320597E2,3.391309103346E1
7.003154574132E1,1.812237252882E1,1.186119873817E2,-3.984633846190E0,1.899053651828E2,6.900357734299E1
5.741324921136E1,3.286037677882E1,1.189274447950E2,1.040246554072E1,1.835962169178E2,8.163615241443E1
3.596214511041E1,5.461647829073E1,1.110410094637E2,4.198390321930E1,1.731861222806E2,9.742687125372E1
1.293375394322E1,7.496896035026E1,9.053627760252E1,6.409090959431E1,1.621451128168E2,1.019886344740E2
4.416403785489E0,9.321601323122E1,7.444794952681E1,8.268886733836E1,1.605678257506E2,1.023395393371E2
,,5.741324921136E1,9.286510836813E1,,
,,3.596214511041E1,9.707596672527E1,,
