z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.331,0.043,1.192,0.037,1.443,0.026,1.037,0.013,0.753,0.008,
0.020,NaN,NaN,NaN,NaN,1.264,0.019,NaN,NaN,0.646,0.004,
0.030,1.401,0.025,1.319,0.030,1.255,0.028,0.855,0.009,0.803,0.004,
0.040,NaN,NaN,NaN,NaN,1.372,0.034,NaN,NaN,0.824,0.004,
0.050,1.456,0.025,1.439,0.027,1.385,0.018,0.982,0.011,0.824,0.013,
0.060,NaN,NaN,NaN,NaN,1.565,0.021,NaN,NaN,1.616,0.059,
0.070,1.515,0.029,1.556,0.025,1.809,0.021,1.858,0.033,2.157,0.066,
0.080,NaN,NaN,NaN,NaN,1.851,0.025,NaN,NaN,2.601,0.046,
0.090,1.536,0.031,1.619,0.032,1.976,0.028,2.488,0.020,2.777,0.017,
