Height,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28
m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0.3,74.08,45.30,33.46,29.37,45.39,73.84,34.00,72.93,72.52,82.44,88.94,94.40,82.19,84.21,84.30,51.92,6.54,18.18,3.67,8.42,79.22,76.37,57.18,42.07,29.50,20.27,6.36,2.61
1.0,61.90,28.03,18.14,16.97,28.36,59.43,18.40,61.26,63.05,78.82,84.79,93.59,84.43,83.29,78.75,35.10,3.71,9.26,2.42,4.42,78.25,67.44,41.03,25.38,15.18,9.71,2.84,1.15
1.5,42.46,14.88,8.72,8.62,15.21,39.39,9.04,42.18,45.37,60.53,65.01,73.24,67.24,65.06,59.68,20.14,1.74,4.34,1.13,2.00,61.58,48.59,24.77,13.38,6.91,4.12,0.87,0.04
2.0,33.95,9.39,5.13,5.07,9.52,30.78,5.41,33.93,38.07,53.79,57.91,65.68,61.23,58.55,52.44,13.71,1.20,2.67,0.83,1.29,56.63,40.72,17.71,8.43,3.85,2.16,0.31,-0.19
2.5,28.58,6.90,3.69,3.67,6.97,25.39,3.90,28.33,33.05,49.20,53.52,60.84,57.73,54.46,47.93,10.36,0.82,1.87,0.53,0.90,53.15,35.88,13.89,6.25,2.72,1.51,0.18,-0.18
3.0,21.79,4.38,2.41,2.04,4.06,18.58,2.48,21.75,26.70,44.61,50.08,57.08,56.99,51.84,44.18,6.83,0.93,1.43,0.69,0.80,49.86,29.99,8.67,3.32,1.28,0.59,-0.19,-0.48
3.5,16.09,2.88,1.59,1.34,2.67,13.37,1.64,16.11,20.28,36.71,41.66,47.89,49.01,43.52,36.36,4.61,0.59,0.90,0.40,0.50,42.20,23.54,5.94,2.11,0.73,0.28,-0.22,-0.44
4.0,11.31,1.84,1.05,0.78,1.49,8.89,0.93,11.28,15.37,32.38,37.93,44.17,48.68,40.59,32.12,2.92,0.53,0.78,0.47,0.53,38.30,18.66,3.66,1.27,0.46,0.22,-0.13,-0.30
