v2/u2*,zf/u* Nieuwstadt
0.029985007,0.342081448
0.035982009,0.329411765
0.035982009,0.348944193
0.059970015,0.289819005
0.059970015,0.304072398
0.059970015,0.318325792
0.065967016,0.271870287
0.083958021,0.252865762
0.107946027,0.237556561
0.11994003,0.221719457
0.137931034,0.200603318
0.16191904,0.191628959
0.179910045,0.175791855
0.203898051,0.161538462
0.227886057,0.146757164
0.251874063,0.134615385
0.305847076,0.115082956
0.371814093,0.097134238
0.419790105,0.086048265
0.443778111,0.348944193
0.449775112,0.344720965
0.467766117,0.074962293
0.485757121,0.333634992
0.509745127,0.32571644
0.515742129,0.066515837
0.527736132,0.314102564
0.569715142,0.305128205
0.569715142,0.059125189
0.593703148,0.295625943
0.629685157,0.288235294
0.64167916,0.055957768
0.665667166,0.050678733
0.671664168,0.277677225
0.713643178,0.269758673
0.71964018,0.045927602
0.755622189,0.043815988
0.773613193,0.261312217
0.815592204,0.040648567
0.827586207,0.252337858
0.875562219,0.244419306
0.875562219,0.037481146
0.917541229,0.238612368
0.95952024,0.034841629
0.971514243,0.231749623
1.00149925,0.225414781
1.037481259,0.218024133
1.061469265,0.029562594
1.085457271,0.209049774
1.109445277,0.204298643
1.115442279,0.003695324
1.151424288,0.19638009
1.169415292,0.006334842
1.181409295,0.02586727
1.1994003,0.186877828
1.223388306,0.177903469
1.253373313,0.022171946
1.259370315,0.008446456
1.271364318,0.169984917
1.289355322,0.162594268
1.331334333,0.15520362
1.355322339,0.011085973
1.367316342,0.146757164
1.373313343,0.017948718
1.391304348,0.016892911
1.403298351,0.013197587
1.415292354,0.137782805
1.427286357,0.13092006
1.451274363,0.014781297
1.48125937,0.120889894
1.511244378,0.003695324
1.517241379,0.111915535
1.541229385,0.10346908
1.541229385,0.005279035
1.583208396,0.092911011
1.631184408,0.005279035
1.649175412,0.082880845
1.67916042,0.072850679
1.703148426,0.006862745
1.709145427,0.067043741
1.727136432,0.059653092
1.751124438,0.054374057
1.751124438,0.007918552
1.787106447,0.044871795
1.811094453,0.03959276
1.835082459,0.035897436
1.84107946,0.008974359
1.883058471,0.031674208
1.901049475,0.028506787
1.931034483,0.011085973
1.937031484,0.024811463
1.991004498,0.020060332
1.997001499,0.012669683
2.014992504,0.015309201
2.026986507,0.01372549
