vw/u2*,zf/u* total variance
-0.311904762,0.002114804
-0.283630952,0.004758308
-0.26875,0.006873112
-0.233035714,0.008987915
-0.191369048,0.014274924
-0.176488095,0.016389728
-0.155654762,0.017975831
-0.131845238,0.02326284
-0.11547619,0.025377644
-0.103571429,0.028021148
-0.093154762,0.030135952
-0.08125,0.031722054
-0.066369048,0.034365559
-0.05,0.039123867
-0.041071429,0.042296073
-0.036607143,0.345770393
-0.036607143,0.341540785
-0.036607143,0.339425982
-0.033630952,0.044410876
-0.030654762,0.336253776
-0.024702381,0.333081571
-0.020238095,0.331495468
-0.017261905,0.325151057
-0.017261905,0.320392749
-0.017261905,0.048640483
-0.009821429,0.31510574
-0.003869048,0.312462236
-0.000892857,0.306646526
-0.000892857,0.055513595
0.005059524,0.300302115
0.011011905,0.292900302
0.016964286,0.282854985
0.016964286,0.059743202
0.022916667,0.064501511
0.024404762,0.275981873
0.028869048,0.267522659
0.031845238,0.070317221
0.036309524,0.261178248
0.04077381,0.254833837
0.045238095,0.246903323
0.048214286,0.228927492
0.049702381,0.07560423
0.051190476,0.23897281
0.057142857,0.222054381
0.061607143,0.083006042
0.064583333,0.205135952
0.067559524,0.195090634
0.069047619,0.091465257
0.075,0.18663142
0.075,0.100453172
0.07797619,0.179229607
0.085416667,0.169712991
0.086904762,0.160196375
0.086904762,0.120543807
0.086904762,0.112084592
0.089880952,0.154380665
0.092857143,0.137462236
0.094345238,0.143806647
0.095833333,0.127416918
