"?w/?w0,U wind",z
,m
0.006659267,1498.079385
0.013318535,3.841229193
0.018645949,1490.396927
0.031964484,1486.555698
0.039955605,7.682458387
0.043951165,1480.793854
0.05327414,1475.03201
0.059933407,9.603072983
0.069256382,1469.270166
0.07991121,1465.428937
0.07991121,11.52368758
0.089234184,11.52368758
0.095893452,1448.143406
0.10654828,1432.778489
0.111875694,1423.175416
0.111875694,15.36491677
0.119866815,1407.810499
0.129189789,19.20614597
0.131853496,1390.524968
0.143840178,1369.398207
0.146503885,21.12676056
0.155826859,1352.112676
0.169145394,24.96798976
0.171809101,1329.065301
0.189123196,1302.176697
0.195782464,30.72983355
0.202441731,1281.049936
0.203773585,1275.288092
0.213096559,1263.764405
0.214428413,30.72983355
0.225083241,1242.637644
0.233074362,34.57106274
0.235738069,1219.590269
0.246392897,1200.384123
0.254384018,38.41229193
0.258379578,1183.098592
0.269034406,1165.81306
0.279689234,40.33290653
0.285016648,1137.003841
0.293007769,1125.480154
0.29700333,40.33290653
0.311653718,44.17413572
0.315649279,1087.067862
0.320976693,46.09475032
0.326304107,1071.702945
0.332963374,46.09475032
0.340954495,1046.734955
0.348945616,1035.211268
0.348945616,49.93597951
0.35826859,1017.925736
0.371587125,53.77720871
0.376914539,994.8783611
0.391564928,967.9897567
0.391564928,57.6184379
0.403551609,57.6184379
0.408879023,941.1011524
0.426193119,916.1331626
0.430188679,61.45966709
0.442175361,887.3239437
0.452830189,61.45966709
0.459489456,860.4353393
0.474139845,67.22151088
0.483462819,823.943662
0.500776915,71.06274008
0.510099889,787.4519846
0.527413984,758.6427657
0.531409545,74.90396927
0.54472808,735.5953905
0.547391787,78.74519846
0.560710322,80.66581306
0.564705882,706.7861716
0.574028857,80.66581306
0.583351831,677.9769526
0.587347392,86.42765685
0.599334073,88.34827145
0.60199778,649.1677337
0.619311876,620.3585147
0.629966704,92.18950064
0.637957825,587.7080666
0.656603774,97.95134443
0.659267481,560.8194622
0.67791343,533.9308579
0.68190899,101.7925736
0.688568257,510.8834827
0.700554939,491.6773367
0.71254162,107.5544174
0.716537181,464.7887324
0.729855716,435.9795134
0.732519423,113.3162612
0.747169811,412.9321383
0.749833518,124.8399488
0.7618202,391.8053777
0.767147614,134.4430218
0.773806881,359.1549296
0.783129856,140.2048656
0.791120977,334.1869398
0.800443951,153.6491677
0.804439512,301.5364917
0.816426193,274.6478873
0.8190899,174.7759283
0.825749168,240.0768246
0.827081021,190.1408451
0.829744728,211.2676056
