uw/u2*,"z,SGS contribution"
,m
-0.948832036,1.932989691
-0.928809789,5.798969072
-0.903225806,5.798969072
-0.878754171,5.798969072
-0.858731924,9.664948454
-0.840934372,7.731958763
-0.827586207,11.59793814
-0.814238042,13.53092784
-0.798665184,13.53092784
-0.778642937,19.32989691
-0.766407119,17.39690722
-0.747497219,17.39690722
-0.724137931,17.39690722
-0.705228031,21.2628866
-0.686318131,25.12886598
-0.668520578,27.06185567
-0.64516129,27.06185567
-0.61512792,30.92783505
-0.590656285,30.92783505
-0.575083426,32.86082474
-0.560622914,36.72680412
-0.543937709,36.72680412
-0.52836485,36.72680412
-0.517241379,36.72680412
-0.500556174,36.72680412
-0.482758621,42.5257732
-0.457174638,48.32474227
-0.43381535,48.32474227
-0.394883204,48.32474227
-0.371523915,52.19072165
-0.340378198,57.98969072
-0.312569522,63.78865979
-0.27919911,71.52061856
-0.258064516,71.52061856
-0.229143493,75.38659794
-0.203559511,81.18556701
-0.183537264,83.1185567
-0.160177976,86.98453608
-0.14349277,90.85051546
-0.129032258,94.71649485
-0.109010011,110.1804124
-0.096774194,112.1134021
-0.074527253,125.6443299
-0.0567297,139.1752577
-0.045606229,166.2371134
-0.033370412,177.8350515
-0.027808676,206.8298969
-0.022246941,241.6237113
-0.0189099,274.4845361
-0.016685206,307.3453608
-0.014460512,313.1443299
-0.013348165,342.1391753
-0.012235818,355.6701031
-0.011123471,380.7989691
-0.008898776,490.9793814
-0.008898776,456.185567
-0.008898776,419.4587629
-0.008898776,400.128866
-0.007786429,556.7010309
-0.007786429,529.6391753
-0.006674082,871.7783505
-0.005561735,835.0515464
-0.005561735,804.1237113
-0.005561735,717.1391753
-0.005561735,678.4793814
-0.005561735,659.1494845
-0.005561735,618.556701
-0.005561735,591.4948454
-0.004449388,997.4226804
-0.004449388,964.5618557
-0.004449388,933.6340206
-0.004449388,914.3041237
-0.004449388,769.3298969
-0.004449388,744.2010309
-0.004449388,635.9536082
-0.003337041,1467.139175
-0.003337041,1436.21134
-0.003337041,1407.216495
-0.003337041,1389.819588
-0.003337041,1366.623711
-0.003337041,1341.494845
-0.003337041,1320.231959
-0.003337041,1277.706186
-0.003337041,1254.510309
-0.003337041,1225.515464
-0.003337041,1200.386598
-0.003337041,1175.257732
-0.003337041,1148.195876
-0.003337041,1115.335052
-0.003337041,1094.072165
-0.003337041,1067.010309
-0.003337041,1041.881443
-0.003337041,1024.484536
-0.002224694,1492.268041
