v2/u2*,"z,resolved contribution"
,m
0.225618632,10.05025126
0.363901019,12.56281407
0.429403202,1296.482412
0.429403202,1263.819095
0.429403202,1243.718593
0.443959243,1231.155779
0.451237263,1344.221106
0.451237263,1321.60804
0.458515284,1195.979899
0.465793304,1409.547739
0.473071325,1384.422111
0.473071325,1379.396985
0.473071325,1364.321608
0.473071325,1160.80402
0.480349345,1135.678392
0.487627365,1414.572864
0.487627365,12.56281407
0.502183406,1108.040201
0.531295488,1077.889447
0.545851528,1489.949749
0.545851528,1472.361809
0.545851528,1427.135678
0.553129549,1057.788945
0.56768559,1454.773869
0.596797671,1444.723618
0.596797671,1027.638191
0.625909753,989.9497487
0.655021834,12.56281407
0.669577875,957.2864322
0.713245997,927.1356784
0.742358079,884.4221106
0.76419214,15.07537688
0.77874818,834.1708543
0.822416303,806.5326633
0.866084425,763.8190955
0.902474527,721.1055276
0.924308588,683.4170854
0.924308588,17.5879397
0.938864629,663.3165829
0.938864629,640.7035176
0.96797671,605.5276382
0.975254731,585.4271357
0.997088792,560.3015075
1.004366812,537.6884422
1.040756914,20.10050251
1.048034934,505.0251256
1.084425036,472.361809
1.135371179,447.2361809
1.15720524,22.61306533
1.186317322,424.6231156
1.237263464,407.0351759
1.259097525,22.61306533
1.288209607,369.3467337
1.317321689,22.61306533
1.390101892,334.1708543
1.397379913,20.10050251
1.426491994,311.5577889
1.462882096,25.12562814
1.521106259,30.15075377
1.528384279,283.919598
1.586608443,37.68844221
1.601164483,248.7437186
1.637554585,42.71356784
1.659388646,221.1055276
1.703056769,195.9798995
1.72489083,50.25125628
1.754002911,163.3165829
1.797671033,62.81407035
1.812227074,138.1909548
1.834061135,77.88944724
1.848617176,118.0904523
1.877729258,103.0150754
